Location,Procedure,AED,Comparison
ABDOMINAL REGION,CT Abdomen and Pelvis,7.7,2.6 years
ABDOMINAL REGION,CT Abdomen and Pelvis with and without contrast,15.4,5.1 years
ABDOMINAL REGION,CT Colonography,6,2 years
ABDOMINAL REGION,IVU,3,1 year
ABDOMINAL REGION,Barium Enema,6,2 years
ABDOMINAL REGION,Upper GI Study with Barium,6,2 years
BONE,Lumbar Spine,1.4,6 months
BONE,Extremity X-ray,<0.001,<3 hours
CENTRAL NERVOUS SYSTEM,CT Brain,1.6,7 months
CENTRAL NERVOUS SYSTEM,CT Brain with and without contrast,3.2,13 months
CENTRAL NERVOUS SYSTEM,CT Head and Neck,1.2,5 months
CENTRAL NERVOUS SYSTEM,CT Spine,8.8,3 years
CHEST,CT Chest,6.1,2 years
CHEST,CT Lung Cancer Screening,1.5,6 months
CHEST,Chest X-ray,0.1,10 days
DENTAL,Dental X-ray,0.005,1 day
DENTAL,Panoramic X-ray,0.025,3 days
DENTAL,Cone Beam CT,0.18,22 days
HEART,Coronary CTA,8.7,3 years
HEART,Cardiac CT Calcium Scoring,1.7,6 months
HEART,Non Cardiac СТА,5.1,<2 years
MEN'S IMAGING,DEXA,0.001,3 hours
NUCLEAR MEDICINE,PET/CT Whole Body,22.7,7.6 years
WOMEN'S IMAGING,DEXA,0.001,3 hours
WOMEN'S IMAGING,Screening Digital Mammography,0.28,34 days
WOMEN'S IMAGING,3D Mammogram,0.34,42 days
